Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Season (season),Crop code (crop_code),Crop name (crop_name),Crop category (crop_type),Area (area),Area unit (area_unit),Production (production),Production unit (production_unit),Yield (yield),Yield unit (yield_unit)
" 2019-20","Telangana","36","Mahabubabad","688","Rabi       ","1001","Groundnut","Oilseeds","1758.0","Hectare","3079.0","Tonnes","1.75","Tonnes/Hectare"
" 2007-08","West Bengal","19","Purba Bardhaman","306","Kharif     ","508","Garlic","Spices","50.0","Hectare","580.0","Tonnes","11.6","Tonnes/Hectare"
" 2007-08","Tamil Nadu","33","Virudhunagar","597","Whole Year ","1001","Groundnut","Oilseeds","7692.0","Hectare","9098.0","Tonnes","1.18","Tonnes/Hectare"
" 2003-04","Karnataka","29","Chikkamagaluru","532","Kharif     ","1007","Sunflower","Oilseeds","9162.0","Hectare","1854.0","Tonnes","0.2","Tonnes/Hectare"
" 2012-13","Himachal Pradesh","2","Una","26","Rabi       ","106","Wheat","Cereals","31328.0","Hectare","69021.0","Tonnes","2.2","Tonnes/Hectare"
" 2010-11","Madhya Pradesh","23","Neemuch","419","Kharif     ","203","Urad","Pulses","4309.0","Hectare","1959.0","Tonnes","0.45","Tonnes/Hectare"
" 2013-14","Madhya Pradesh","23","Datia","401","Kharif     ","1009","Soyabean","Oilseeds","1769.0","Hectare","1446.0","Tonnes","0.82","Tonnes/Hectare"
" 2013-14","Odisha","21","Jajapur","356","Winter     ","401","Sugarcane","Sugar","1052.0","Hectare","46103.9","Tonnes","43.82","Tonnes/Hectare"
" 2006-07","Gujarat","24","Jamnagar","447","Kharif     ","103","Bajra","Cereals","8600.0","Hectare","11300.0","Tonnes","1.31","Tonnes/Hectare"
" 2009-10","Uttar Pradesh","9","Kushi Nagar","160","Kharif     ","103","Bajra","Cereals","95.0","Hectare","162.0","Tonnes","1.71","Tonnes/Hectare"
" 2001-02","Madhya Pradesh","23","Khargone","414","Kharif     ","1001","Groundnut","Oilseeds","15266.0","Hectare","11596.0","Tonnes","0.76","Tonnes/Hectare"
" 2015-16","Bihar","10","Vaishali","224","Kharif     ","204","Moong(Green Gram)","Pulses","22.0","Hectare","15.0","Tonnes","0.68","Tonnes/Hectare"
" 2005-06","Rajasthan","8","Churu","96","Kharif     ","1003","Sesamum","Oilseeds","655.0","Hectare","97.0","Tonnes","0.15","Tonnes/Hectare"
" 2006-07","Odisha","21","Dhenkanal","352","Summer     ","1001","Groundnut","Oilseeds","1556.0","Hectare","2043.0","Tonnes","1.31","Tonnes/Hectare"
" 2013-14","West Bengal","19","Purba Bardhaman","306","Rabi       ","107","Barley","Cereals","9.0","Hectare","9.0","Tonnes","1.0","Tonnes/Hectare"
" 2009-10","Rajasthan","8","Jaipur","102","Whole Year ","703","Sweet Potato","Vegetable","5.0","Hectare","25207.0","Tonnes","0.0","Tonnes/Hectare"
" 2016-17","Madhya Pradesh","23","Khandwa","408","Whole Year ","508","Garlic","Spices","60.0","Hectare","1020.0","Tonnes","17.0","Tonnes/Hectare"
" 2003-04","Bihar","10","Darbhanga","195","Whole Year ","606","Banana","Fruits","91.0","Hectare","894.0","Tonnes","9.82","Tonnes/Hectare"
" 2004-05","Puducherry","34","Pondicherry","600","Autumn     ","101","Rice","Cereals","5135.0","Hectare","14650.0","Tonnes","2.85","Tonnes/Hectare"
" 2016-17","Telangana","36","Mahabubabad","688","Rabi       ","703","Sweet Potato","Vegetable","7.0","Hectare","53.0","Tonnes","7.57","Tonnes/Hectare"
" 2007-08","Uttar Pradesh","9","Ballia","126","Kharif     ","108","Small Millets","Cereals","81.0","Hectare","49.0","Tonnes","0.6","Tonnes/Hectare"
" 1999-00","Kerala","32","Pathanamthitta","564","Winter     ","101","Rice","Cereals","2680.0","Hectare","6005.0","Tonnes","2.24","Tonnes/Hectare"
" 1997-98","Punjab","3","Ludhiana","36","Whole Year ","401","Sugarcane","Sugar","8000.0","Hectare","470000.0","Tonnes","58.75","Tonnes/Hectare"
" 2004-05","Odisha","21","Nabarangpur","366","Whole Year ","1302","Tobacco","Drugs And Narcotics","139.0","Hectare","63.0","Tonnes","0.45","Tonnes/Hectare"
" 2002-03","Tamil Nadu","33","Perambalur","581","Kharif     ","288","Other Kharif Pulses","Pulses","26.0","Hectare","4.0","Tonnes","0.15","Tonnes/Hectare"
" 2010-11","Karnataka","29","Belagavi","527","Summer     ","701","Potato","Vegetable","3.0","Hectare","46.0","Tonnes","15.33","Tonnes/Hectare"
" 2009-10","Assam","18","Kokrajhar","294","Rabi       ","204","Moong(Green Gram)","Pulses","60.0","Hectare","33.0","Tonnes","0.55","Tonnes/Hectare"
" 2008-09","Madhya Pradesh","23","Bhind","395","Whole Year ","708","Onion","Vegetable","63.0","Hectare","363.0","Tonnes","5.76","Tonnes/Hectare"
" 2006-07","Rajasthan","8","Chittorgarh","95","Kharif     ","503","Ginger","Spices","1.0","Hectare","63.0","Tonnes","0.0","Tonnes/Hectare"
